Trial;Metal;Voltage (V);Current (pA);Frequency (Hz);Wavelength (nm)
1;Calcium; 0.029; 0.02;7.0588E14;425.00
2;Calcium; 0.110;-0.02;7.2464E14;414.00
3;Calcium; 0.190;-0.02;7.4442E14;403.00
4;Calcium; 0.269;-0.01;7.6336E14;393.00
5;Calcium; 0.362;-0.01;7.8534E14;382.00
6;Calcium; 0.460; 0.00;8.0863E14;371.00
7;Calcium; 0.559;-0.01;8.3333E14;360.00
8;Calcium; 0.679; 0.02;8.5960E14;349.00
9;Calcium; 0.779;-0.01;8.8757E14;338.00
10;Calcium; 0.911;-0.01;9.1743E14;327.00
11;Calcium; 1.051; 0.02;9.4937E14;316.00
12;Calcium; 1.180; 0.02;9.8361E14;305.00
13;Calcium; 1.341; 0.01;10.2041E14;294.00
14;Calcium; 1.500; 0.00;10.6007E14;283.00
15;Calcium; 1.678;-0.01;11.0294E14;272.00
16;Calcium; 1.872;-0.01;11.4943E14;261.00
17;Calcium; 2.081; 0.02;12.0000E14;250.00
18;Calcium; 2.301;-0.00;12.5523E14;239.00
19;Calcium; 2.549; 0.01;13.1579E14;228.00
20;Calcium; 2.832;-0.02;13.8249E14;217.00
21;Calcium; 3.150;-0.01;14.5631E14;206.00
22;Calcium; 3.329; 0.01;15.0000E14;200.00
