Trial;Metal;Voltage (V);Current (pA);Frequency (Hz);Wavelength (nm)
1;Nickel; 0.011; 0.02;12.1081E14;247.77
2;Nickel; 0.048;-0.02;12.1951E14;246.00
3;Nickel; 0.121; 0.00;12.3457E14;243.00
4;Nickel; 0.150; 0.02;12.4481E14;241.00
5;Nickel; 0.199;-0.01;12.5523E14;239.00
6;Nickel; 0.238; 0.00;12.6582E14;237.00
7;Nickel; 0.318; 0.00;12.8205E14;234.00
8;Nickel; 0.391; 0.02;12.9870E14;231.00
9;Nickel; 0.449; 0.00;13.1579E14;228.00
10;Nickel; 0.519; 0.00;13.3333E14;225.00
11;Nickel; 0.592; 0.01;13.5135E14;222.00
12;Nickel; 0.671; 0.00;13.6986E14;219.00
13;Nickel; 0.752; 0.02;13.8889E14;216.00
14;Nickel; 0.832;-0.01;14.0845E14;213.00
15;Nickel; 0.910;-0.02;14.2857E14;210.00
16;Nickel; 0.968; 0.01;14.4231E14;208.00
17;Nickel; 1.028; 0.00;14.5631E14;206.00
18;Nickel; 1.089;-0.01;14.7059E14;204.00
19;Nickel; 1.148;-0.01;14.8515E14;202.00
20;Nickel; 1.212; 0.00;15.0000E14;200.00
